"","id","partner","type_trial","promise","dec_partner","prom_keys","prom_keys_rt","decision","decision_rt","prom_percent","decision_gain","response"
"161","7","Friend","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"162","7","Confederate","Not apply","No promise","Trust",NA,NA,"Not to pay back",1.45117211342,NA,10,0
"163","7","Computer","Promise","Promise","No trust","Always",2.90254306793,NA,NA,100,NA,NA
"164","7","Confederate","Not apply","Promise","Trust",NA,NA,"Not to pay back",0.817193984985,NA,10,0
"165","7","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",0.869384050369,NA,10,0
"166","7","Friend","No Promise","No promise","Trust",NA,NA,"Not to pay back",0.669382095337,NA,10,0
"167","7","Confederate","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"168","7","Confederate","Not apply","No promise","Trust",NA,NA,"Not to pay back",0.867382049561,NA,10,0
"169","8","Confederate","Promise","Promise","Trust","Sometimes",5.75448426045,"Pay back",4.53662751056,33.33,5,1
"170","8","Computer","Not apply","Promise","Trust",NA,NA,"Pay back",5.13760861452,NA,5,1
"171","8","Friend","Not apply","Promise","Trust",NA,NA,"Pay back",5.55460414896,NA,5,1
"172","8","Computer","No Promise","No promise","Trust",NA,NA,"Not to pay back",4.8025766809,NA,10,0
"173","8","Computer","Not apply","No promise","Trust",NA,NA,"Pay back",3.2528556867,NA,5,1
"174","8","Friend","Not apply","No promise","Trust",NA,NA,"Pay back",2.78572816518,NA,5,1
"175","8","Friend","Promise","Promise","Trust","No response",NA,"Pay back",3.88652925356,0,5,1
"176","8","Confederate","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"177","8","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",2.63534870232,NA,10,0
"178","8","Friend","Promise","Promise","Trust","Always",3.00226064515,"Pay back",2.90237540053,100,5,1
"179","8","Friend","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"180","8","Confederate","Not apply","Promise","Trust",NA,NA,"Pay back",4.0867880946,NA,5,1
"181","8","Computer","No Promise","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"182","8","Friend","Not apply","No promise","Trust",NA,NA,"Pay back",3.18587261788,NA,5,1
"183","8","Computer","Not apply","No promise","Trust",NA,NA,"Not to pay back",6.53821538831,NA,10,0
"184","8","Confederate","No Promise","No promise","Trust",NA,NA,"Pay back",3.33569406858,NA,5,1
"185","8","Friend","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"186","8","Confederate","Not apply","No promise","Trust",NA,NA,"Pay back",2.46867836942,NA,5,1
"187","8","Computer","Promise","Promise","No trust","Sometimes",6.88869310799,NA,NA,33.33,NA,NA
"188","8","Confederate","Not apply","Promise","Trust",NA,NA,"Pay back",6.77169390721,NA,5,1
"189","8","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",3.5862007523,NA,10,0
"190","8","Friend","No Promise","No promise","Trust",NA,NA,"Pay back",3.95272956579,NA,5,1
"191","8","Confederate","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"192","8","Confederate","Not apply","No promise","Trust",NA,NA,"Pay back",5.62126054987,NA,5,1
"193","9","Confederate","Promise","Promise","Trust","Mostly",6.35381507874,"Pay back",3.68702292442,66.66,5,1
"194","9","Computer","Not apply","Promise","Trust",NA,NA,"Pay back",7.82050895691,NA,5,1
"195","9","Friend","Not apply","Promise","Trust",NA,NA,"Pay back",2.61956095695,NA,5,1
"196","9","Computer","No Promise","No promise","Trust",NA,NA,"Not to pay back",3.60368490219,NA,10,0
"197","9","Computer","Not apply","No promise","Trust",NA,NA,"Not to pay back",1.98696208,NA,10,0
"198","9","Friend","Not apply","No promise","Trust",NA,NA,"Pay back",2.13408112526,NA,5,1
"199","9","Friend","Promise","Promise","Trust","Mostly",3.3705739975,"Pay back",2.30354309082,66.66,5,1
"200","9","Confederate","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"201","9","Computer","Not apply","Promise","Trust",NA,NA,"Pay back",1.52018213272,NA,5,1
"202","9","Friend","Promise","Promise","Trust","Mostly",3.17008709908,"Pay back",1.32060599327,66.66,5,1
"203","9","Friend","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"204","9","Confederate","Not apply","Promise","Trust",NA,NA,"Pay back",2.10372400284,NA,5,1
"205","9","Computer","No Promise","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"206","9","Friend","Not apply","No promise","Trust",NA,NA,"Not to pay back",2.56728601456,NA,10,0
"207","9","Computer","Not apply","No promise","Trust",NA,NA,"Pay back",3.40085291862,NA,5,1
"208","9","Confederate","No Promise","No promise","Trust",NA,NA,"Not to pay back",1.9535639286,NA,10,0
"209","9","Friend","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"210","9","Confederate","Not apply","No promise","Trust",NA,NA,"Pay back",2.30339598656,NA,5,1
"211","9","Computer","Promise","Promise","No trust","Always",2.80366301537,NA,NA,100,NA,NA
"212","9","Confederate","Not apply","Promise","Trust",NA,NA,"Pay back",2.62025499344,NA,5,1
"213","9","Computer","Not apply","Promise","Trust",NA,NA,"Pay back",2.03692388535,NA,5,1
"214","9","Friend","No Promise","No promise","Trust",NA,NA,"Pay back",1.05358290672,NA,5,1
"215","9","Confederate","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"216","9","Confederate","Not apply","No promise","Trust",NA,NA,"Not to pay back",2.3173391819,NA,10,0
"217","10","Confederate","Promise","Promise","Trust","Always",4.00347018242,"Pay back",3.55384278297,100,5,1
"218","10","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",2.87003517151,NA,10,0
"219","10","Friend","Not apply","Promise","Trust",NA,NA,"Pay back",1.65338993073,NA,5,1
"220","10","Computer","No Promise","No promise","Trust",NA,NA,"Not to pay back",3.10350894928,NA,10,0
"221","10","Computer","Not apply","No promise","Trust",NA,NA,"Not to pay back",2.21990299225,NA,10,0
"222","10","Friend","Not apply","No promise","Trust",NA,NA,"Pay back",1.83385586739,NA,5,1
"223","10","Friend","Promise","Promise","Trust","Always",5.270154953,"Pay back",2.16735696793,100,5,1
"224","10","Confederate","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"225","10","Computer","Not apply","Promise","Trust",NA,NA,"Not to pay back",3.35376310349,NA,10,0
"226","10","Friend","Promise","Promise","Trust","Mostly",3.98738098145,"Pay back",1.98685908318,66.66,5,1
"227","10","Friend","Not apply","Promise","No trust",NA,NA,NA,NA,NA,NA,NA
"228","10","Confederate","Not apply","Promise","Trust",NA,NA,"Pay back",3.41990399361,NA,5,1
"229","10","Computer","No Promise","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"230","10","Friend","Not apply","No promise","Trust",NA,NA,"Pay back",1.98663496971,NA,5,1
"231","10","Computer","Not apply","No promise","Trust",NA,NA,"Not to pay back",2.3204100132,NA,10,0
"232","10","Confederate","No Promise","No promise","Trust",NA,NA,"Not to pay back",1.3200109005,NA,10,0
"233","10","Friend","Not apply","No promise","No trust",NA,NA,NA,NA,NA,NA,NA
"234","10","Confederate","Not apply","No promise","Trust",NA,NA,"Not to pay back",5.8869240284,NA,10,0
"235","10","Computer","Promise","Promise","No trust","Mostly",4.02022504807,NA,NA,66.66,NA,NA
"236","10","Confederate","Not apply","Promise","Trust",NA,NA,"Pay back",1.2868180275,NA,5,1
